asset_1	asset_2	hedge_ratio
ADABTC	AIONBTC	15.536039040225086
ADABTC	BRDBTC	5.397440161684162
ADABTC	CMTBTC	2.9495175885720117
ADABTC	CNDBTC	0.48970939643964734
ADABTC	ELFBTC	5.127403301596215
ADABTC	GTOBTC	1.5615785448148647
ADABTC	ICXBTC	15.547592554241726
ADABTC	NAVBTC	6.270955837381573
ADABTC	NEBLBTC	47.78243000133398
ADABTC	OSTBTC	1.1377352391968356
ADABTC	PPTBTC	114.66646111023564
ADABTC	TNBBTC	0.23414135161891667
ADABTC	WABIBTC	5.311359082599232
ADABTC	WAVESBTC	55.871269735811026
ADXBTC	ADABTC	0.23266729413095988
ADXBTC	AIONBTC	3.5883868155180485
ADXBTC	BRDBTC	0.9553816034211375
ADXBTC	CMTBTC	10.82703453291579
ADXBTC	CNDBTC	0.11621695088363687
ADXBTC	ELFBTC	1.3065058093101272
ADXBTC	GTOBTC	0.3360022437387953
ADXBTC	ICXBTC	4.059595784652417
ADXBTC	NAVBTC	1.4104016606407026
ADXBTC	NEBLBTC	12.429020022642185
ADXBTC	OSTBTC	0.28521948128750585
ADXBTC	PPTBTC	26.370694953814656
ADXBTC	TNBBTC	0.06277764771620072
ADXBTC	WABIBTC	1.3528950781886075
ADXBTC	WAVESBTC	18.956892224512345
ADXBTC	XLMBTC	1.7791322666483236
AIONBTC	BRDBTC	0.6938956576115446
AIONBTC	NAVBTC	0.42308208813017484
AIONBTC	NEBLBTC	3.943741380912039
AMBBTC	ADABTC	0.4421197246442715
AMBBTC	ADXBTC	1.6715036009955373
AMBBTC	AIONBTC	5.399671582542559
AMBBTC	BCDBTC	58.98226083613358
AMBBTC	BCPTBTC	0.9849918262648092
AMBBTC	BRDBTC	0.9468593018804701
AMBBTC	BTSBTC	0.43525079208222606
AMBBTC	CDTBTC	0.10397726957516845
AMBBTC	CMTBTC	0.39881312592374357
AMBBTC	CNDBTC	0.19455044709200978
AMBBTC	ELFBTC	2.0997984914761094
AMBBTC	GTOBTC	0.5997463343086242
AMBBTC	GXSBTC	6.311370489284916
AMBBTC	ICXBTC	7.083617198400261
AMBBTC	LSKBTC	26.447723530579836
AMBBTC	MANABTC	0.16597657196374682
AMBBTC	NAVBTC	2.5257425156128277
AMBBTC	NEBLBTC	22.19035524292931
AMBBTC	OSTBTC	0.4823520112604223
AMBBTC	POEBTC	0.09583377364838472
AMBBTC	PPTBTC	42.952614328968
AMBBTC	QSPBTC	0.3818881743739342
AMBBTC	TNBBTC	0.10227419642460149
AMBBTC	WABIBTC	2.1781273077952363
AMBBTC	XLMBTC	0.5547524938544554
AMBBTC	XZCBTC	67.48797082344797
ARKBTC	ADABTC	0.07291678948882055
ARKBTC	ADXBTC	0.29443772167306925
ARKBTC	AIONBTC	0.944802448302222
ARKBTC	AMBBTC	0.16656204281854087
ARKBTC	BCDBTC	9.484638204145025
ARKBTC	BCPTBTC	0.17067781106924768
ARKBTC	BRDBTC	0.22134642707361013
ARKBTC	BTSBTC	0.057432202733197796
ARKBTC	CDTBTC	0.01873384288494263
ARKBTC	CNDBTC	0.03286177769923004
ARKBTC	DLTBTC	0.09923730674665822
ARKBTC	ELFBTC	0.34359535864267804
ARKBTC	GTOBTC	0.09433184184932099
ARKBTC	GVTBTC	7.096579766732967
ARKBTC	GXSBTC	0.9478453993944161
ARKBTC	ICXBTC	1.1795969334687335
ARKBTC	KMDBTC	0.9372846322972459
ARKBTC	LSKBTC	4.2876422468796695
ARKBTC	MANABTC	0.028584399508130517
ARKBTC	NAVBTC	0.418944623191081
ARKBTC	NEBLBTC	3.6900878533786696
ARKBTC	NULSBTC	1.1459309076961481
ARKBTC	OSTBTC	0.08551979256750519
ARKBTC	POEBTC	0.01590596134680026
ARKBTC	PPTBTC	7.0173135437236835
ARKBTC	QSPBTC	0.06553201532817061
ARKBTC	RCNBTC	0.010795350744682387
ARKBTC	RDNBTC	0.6966068283898935
ARKBTC	STORJBTC	0.25718104232304345
ARKBTC	TNBBTC	0.01830493852725418
ARKBTC	WABIBTC	0.3994717194711233
ARKBTC	XMRBTC	54.18862115579502
ARKBTC	XRPBTC	0.08899336186823603
ARKBTC	XZCBTC	11.478753200748944
ASTBTC	ADABTC	0.5076643481355163
ASTBTC	ADXBTC	1.918722477385693
ASTBTC	AIONBTC	6.104684893417364
ASTBTC	ARKBTC	6.395823775434582
ASTBTC	BCDBTC	61.969875743024936
ASTBTC	BCPTBTC	1.063246439134189
ASTBTC	BRDBTC	1.2397735824160103
ASTBTC	BTGBTC	153.13635077107332
ASTBTC	BTSBTC	0.3739136399425779
ASTBTC	CDTBTC	0.12119681264226756
ASTBTC	CNDBTC	0.20866121631860407
ASTBTC	DASHBTC	735.0722386571556
ASTBTC	DLTBTC	0.5946595851716072
ASTBTC	ELFBTC	2.1643997035076636
ASTBTC	EVXBTC	2.97549923011003
ASTBTC	GTOBTC	0.5974201823829054
ASTBTC	GXSBTC	6.3478524731785
ASTBTC	ICXBTC	7.672205225838553
ASTBTC	KMDBTC	5.921708441289861
ASTBTC	LSKBTC	28.34174935985064
ASTBTC	MANABTC	0.13869134260114388
ASTBTC	NAVBTC	2.680727088844954
ASTBTC	NEBLBTC	23.134071932393862
ASTBTC	OAXBTC	1.3345592250909393
ASTBTC	OSTBTC	0.544479313549558
ASTBTC	POEBTC	0.10278054332231835
ASTBTC	POWRBTC	0.931214505394519
ASTBTC	PPTBTC	48.175229698993434
ASTBTC	QSPBTC	0.4253688644905369
ASTBTC	RCNBTC	0.22211702404484143
ASTBTC	RDNBTC	4.446098158031533
ASTBTC	REQBTC	0.4988648809440356
ASTBTC	STORJBTC	1.6088595116010225
ASTBTC	TNBBTC	0.11895161129602337
ASTBTC	TRXBTC	0.0731090041996246
ASTBTC	VIBBTC	0.3766824393639961
ASTBTC	WABIBTC	2.526954200312433
ASTBTC	XMRBTC	339.2425342586948
ASTBTC	XRPBTC	0.8201376417877035
ASTBTC	XZCBTC	71.92953624479337
BATBTC	ADABTC	0.32402190812416903
BATBTC	ADXBTC	0.5611765474486692
BATBTC	AIONBTC	-3.7864167427580164
BATBTC	BCDBTC	65.10992282745781
BATBTC	BRDBTC	2.376431574368553
BATBTC	BTSBTC	0.3246453114543388
BATBTC	CDTBTC	0.06939272663364
BATBTC	MANABTC	0.32623514671693554
BATBTC	TNBBTC	0.018674522763312055
BATBTC	XZCBTC	43.53233099908883
